userId,movieId,rating,timestamp
14,177765,5.0,1522101070
36,175303,4.5,1529363348
36,175569,4.0,1529362818
36,177593,4.0,1529358961
48,168252,3.0,1527520752
48,174055,4.0,1527520750
48,176371,5.0,1527519093
48,176423,3.5,1527520798
48,177615,3.5,1527521197
75,122896,1.5,1511888856
75,143355,2.0,1511888586
75,166534,2.0,1511888814
75,168250,3.0,1511888777
75,173291,2.5,1511888810
75,173941,1.0,1514326112
75,174055,4.0,1519672057
75,176371,3.0,1511888743
96,174055,5.0,1504045351
136,172547,5.0,1494851186
173,166534,3.5,1492287390
176,166534,4.0,1529783793
176,167640,4.0,1517051525
176,168248,3.5,1505661294
176,168498,3.5,1529783714
176,168612,4.0,1505661231
176,170403,3.0,1505661312
176,170645,3.5,1535823851
176,171763,3.5,1529783736
176,173291,4.0,1529783747
176,173925,4.0,1529783809
176,173941,4.0,1529783786
176,175197,3.5,1535824086
176,175585,4.0,1517051419
176,176751,4.0,1529783770
176,176929,4.0,1529783761
176,176933,3.5,1529783801
176,176937,4.5,1529783698
176,177497,3.5,1529783754
176,177763,4.0,1529783727
176,179819,2.5,1517051576
201,176371,2.0,1524565942
201,176423,1.5,1524565946
206,122916,3.5,1532494991
206,122918,3.0,1532541333
206,175303,4.0,1532467974
206,176371,4.0,1527652296
206,179819,2.0,1532380426
214,122906,3.0,1518985270
214,122926,3.0,1499640520
214,143355,3.0,1499035491
214,168250,4.0,1489953398
214,168252,4.0,1489356376
214,168612,4.0,1521929165
214,169984,3.0,1494705787
214,169992,3.0,1492205193
214,171763,3.0,1500771320
214,173369,3.0,1520713799
214,174055,3.0,1503923260
214,176371,4.0,1508623470
214,176419,4.0,1506974502
214,177593,3.0,1535388695
214,177615,4.0,1522420274
214,177651,3.0,1533508938
214,177689,3.0,1509913377
214,179119,4.0,1525370238
214,179133,4.0,1525370189
214,179135,5.0,1535302704
214,179819,3.0,1519570953
214,180031,3.0,1531088431
214,180297,4.0,1512850654
214,181315,4.0,1518212561
233,168250,4.0,1514624067
248,122918,1.0,1511190168
248,166532,2.5,1511188825
248,166534,3.0,1511282090
248,167640,2.5,1511227586
248,168248,1.0,1511227528
248,168250,3.0,1511186280
248,168252,2.0,1511186282
248,168266,2.0,1511189608
248,168344,1.0,1511190218
248,168492,2.5,1525558928
248,168612,3.0,1511227569
248,169864,2.5,1511227722
248,169984,1.0,1511190101
248,171253,3.0,1512752290
248,171763,3.5,1511187535
248,172009,3.0,1511190270
248,173941,4.0,1511227563
248,174055,3.5,1513067542
248,174727,3.0,1512752278
248,174909,3.5,1512886568
248,175569,3.5,1511190477
248,175585,3.0,1511190291
248,176419,3.0,1513067553
248,178667,1.5,1511190152
296,170697,3.5,1523112102
321,122906,4.5,1523096344
321,122916,3.5,1509287014
321,122918,4.0,1494159768
321,122926,4.0,1500323472
321,143355,3.0,1496962278
321,167746,4.0,1486998383
